Pair,TotalSignals,TotalReturn,AnnualizedVolatility,SharpeRatio,MaxDrawdown,WinRate,AvgWin,AvgLoss,ProfitFactor,ReturnToDrawdown
AAPL-CAT,248,3.874712999708759,0.7653840753961487,0.7107503158889608,-0.6744852857242954,0.532258064516129,0.10160096783697689,-0.0668204204285812,1.7302329691078755,5.744696113789794
AAPL-PG,212,0.4429969384150725,0.11367914098748631,0.676967422607609,-0.13172486584959484,0.6132075471698113,0.018513693908279356,-0.01958609957313614,1.4985616731740352,3.363047178358049
IBKR-TMUS,268,1.0508747815010975,0.7529047296175584,0.4075110023270557,-0.40416235101888753,0.4925373134328358,0.0642203698300984,-0.03885831904252683,1.6040718425085427,2.6001303160768368
PG-SPY,198,0.425239991022061,0.12638379057469054,0.600524380376321,-0.2067216468616409,0.5151515151515151,0.02341483761637888,-0.016652374275885604,1.4939770482716637,2.0570656120337256
CSCO-MS,198,0.2825971288623581,0.11702167844929746,0.4659027446960746,-0.13952554198746447,0.4576271186440678,0.020800419128925305,-0.013118516743641024,1.3378306391641388,2.0254150232059143
AAPL-KO,246,0.35128346010882416,0.19353643780517643,0.3956731066604823,-0.24916537841183087,0.5121951219512195,0.03203998062428132,-0.027002253367302734,1.2458952665125624,1.4098405739508812
CSCO-MSCI,202,0.29212536981444837,0.17915967521704626,0.3594966998101652,-0.22133189537975018,0.49504950495049505,0.029892086869424784,-0.022735940596756214,1.2889709750220342,1.3198521131047756
CALM-TMUS,218,-0.999360962127767,0.742714584708773,-0.9980362502572614,-0.9994750586746114,0.44036697247706424,0.06632849555718746,-0.11541089006014668,0.4522356123378199,0.9998858435277058
MSFT-PG,208,0.25571408143459196,0.119902156180897,0.42466990785440445,-0.3119366875114745,0.5769230769230769,0.01987049613118526,-0.021075694930355666,1.2856577767669668,0.8197627649206398
CAT-MSFT,244,0.13245162136773492,11.182400026056595,0.4879447428880459,-1.1055019932820824,0.48360655737704916,0.7493675789253366,-0.2512135008717159,2.7935946220648744,0.11981129131617789
CAT-PG,232,-0.0001883416989572062,0.09791242362344577,0.047962884921306986,-0.2474920628268198,0.4396551724137931,0.01821920897344296,-0.013919206650959297,1.0270033353589743,0.0007610009662774378
